NSC,Drug_Name,ChEMBL_ID,SMILES,SMILES_Source,canonical_smiles,InChIKey,drug_id
740,Methotrexate,CHEMBL2074969,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,ChEMBL,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,UORBZCNWEGKEOP-CMOCDZPBSA-N,1
750,Busulfan,CHEMBL820,CS(=O)(=O)OCCCCOS(C)(=O)=O,ChEMBL,CS(=O)(=O)OCCCCOS(C)(=O)=O,COVZYZSDYWQREU-UHFFFAOYSA-N,2
752,Thioguanine,CHEMBL727,Nc1nc2[nH]cnc2c(=S)[nH]1,ChEMBL,Nc1nc2[nH]cnc2c(=S)[nH]1,WYWHKKSPHMUBEB-UHFFFAOYSA-N,3
755,Mercaptopurine,CHEMBL1425,Sc1ncnc2nc[nH]c12,ChEMBL,Sc1ncnc2nc[nH]c12,GLVAUDGFNGKCSF-UHFFFAOYSA-N,4
762,Mechlorethamine hydrochloride,CHEMBL1201001,CN(CCCl)CCCl.Cl,ChEMBL,CN(CCCl)CCCl.Cl,QZIQJVCYUQZDIR-UHFFFAOYSA-N,5
1390,Allopurinol,CHEMBL1467,Oc1ncnc2[nH]ncc12,ChEMBL,Oc1ncnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,6
3053,Dactinomycin,CHEMBL4748391,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,ChEMBL,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RJURFGZVJUQBHK-DCUCITLNSA-N,7
3088,Chlorambucil,CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,ChEMBL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,JCKYGMPEJWAADB-UHFFFAOYSA-N,8
6396,Thiotepa,CHEMBL671,S=P(N1CC1)(N1CC1)N1CC1,ChEMBL,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,9
8806,Melphalan,CHEMBL1200863,Cl.N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,ChEMBL,Cl.N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,OUUYBRCCFUEMLH-YDALLXLXSA-N,10
9706,Triethylenemelamine,CHEMBL502384,C1CN1c1nc(N2CC2)nc(N2CC2)n1,ChEMBL,C1CN1c1nc(N2CC2)nc(N2CC2)n1,IUCJMVBFZDHPDX-UHFFFAOYSA-N,11
13875,Altretamine,CHEMBL1455,CN(C)c1nc(N(C)C)nc(N(C)C)n1,ChEMBL,CN(C)c1nc(N(C)C)nc(N(C)C)n1,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,12
14229,Quinacrine hydrochloride,CHEMBL2105615,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl.O.O,ChEMBL,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl.O.O,RZFNKJVCPDLQQA-UHFFFAOYSA-N,13
18509,Aminolevulinic acid hydrochloride,CHEMBL1200582,Cl.NCC(=O)CCC(=O)O,ChEMBL,Cl.NCC(=O)CCC(=O)O,ZLHFONARZHCSET-UHFFFAOYSA-N,14
19893,Fluorouracil,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,ChEMBL,O=c1[nH]cc(F)c(=O)[nH]1,GHASVSINZRGABV-UHFFFAOYSA-N,15
24559,Plicamycin,CHEMBL509846,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,ChEMBL,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,CFCUWKMKBJTWLW-BGLFSJPPSA-N,16
25154,Pipobroman,CHEMBL1585,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,ChEMBL,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,NJBFOOCLYDNZJN-UHFFFAOYSA-N,17
