cellminer_cellline_id,nci_almanac_cellname
BR:MCF7,MCF7
BR:MDA-MB-231,MDA-MB-231
BR:HS 578T,HS 578T
BR:BT-549,BT-549
BR:T-47D,T-47D
CNS:SF-268,CNS:SF-268
CNS:SF-295,CNS:SF-295
CNS:SF-539,CNS:SF-539
CNS:SNB-19,CNS:SNB-19
CNS:SNB-75,CNS:SNB-75
CNS:U251,CNS:U251
CO:COLO 205,COLO 205
CO:HCC-2998,HCC-2998
CO:HCT-116,HCT-116
CO:HCT-15,HCT-15
CO:HT29,HT29
CO:KM12,KM12
CO:SW-620,SW-620
LE:CCRF-CEM,CCRF-CEM
LE:HL-60(TB),HL-60(TB)
LE:K-562,K-562
LE:MOLT-4,MOLT-4
LE:RPMI-8226,RPMI-8226
LE:SR,SR
ME:LOX IMVI,LOX IMVI
ME:MALME-3M,MALME-3M
ME:M14,M14
ME:SK-MEL-2,SK-MEL-2
ME:SK-MEL-28,SK-MEL-28
ME:SK-MEL-5,SK-MEL-5
ME:UACC-257,UACC-257
ME:UACC-62,UACC-62
ME:MDA-MB-435,MDA-MB-435
ME:MDA-N,MDA-N
LC:A549/ATCC,A549/ATCC
LC:EKVX,EKVX
LC:HOP-62,HOP-62
LC:HOP-92,HOP-92
LC:NCI-H226,NCI-H226
LC:NCI-H23,NCI-H23
LC:NCI-H322M,NCI-H322M
LC:NCI-H460,NCI-H460
LC:NCI-H522,NCI-H522
OV:IGROV1,IGROV1
OV:OVCAR-3,OVCAR-3
OV:OVCAR-4,OVCAR-4
OV:OVCAR-5,OVCAR-5
OV:OVCAR-8,OVCAR-8
OV:SK-OV-3,SK-OV-3
OV:NCI/ADR-RES,NCI/ADR-RES
PR:PC-3,PC-3
PR:DU-145,DU-145
RE:786-0,786-0
RE:A498,A498
RE:ACHN,ACHN
RE:CAKI-1,CAKI-1
RE:RXF 393,RXF 393
RE:SN12C,SN12C
RE:TK-10,TK-10
RE:UO-31,UO-31
