CELLNAME,PANEL
786-0,Renal Cancer
A498,Renal Cancer
A549/ATCC,Non-Small Cell Lung Cancer
ACHN,Renal Cancer
BT-549,Breast Cancer
CAKI-1,Renal Cancer
CCRF-CEM,Leukemia
COLO 205,Colon Cancer
DU-145,Prostate Cancer
EKVX,Non-Small Cell Lung Cancer
HCC-2998,Colon Cancer
HCT-116,Colon Cancer
HCT-15,Colon Cancer
HL-60(TB),Leukemia
HOP-62,Non-Small Cell Lung Cancer
HOP-92,Non-Small Cell Lung Cancer
HS 578T,Breast Cancer
HT29,Colon Cancer
IGROV1,Ovarian Cancer
K-562,Leukemia
KM12,Colon Cancer
LOX IMVI,Melanoma
M14,Melanoma
MALME-3M,Melanoma
MCF7,Breast Cancer
MDA-MB-231/ATCC,Breast Cancer
MDA-MB-435,Melanoma
MDA-MB-468,Breast Cancer
MOLT-4,Leukemia
NCI-H226,Non-Small Cell Lung Cancer
NCI-H23,Non-Small Cell Lung Cancer
NCI-H322M,Non-Small Cell Lung Cancer
NCI-H460,Non-Small Cell Lung Cancer
NCI-H522,Non-Small Cell Lung Cancer
NCI/ADR-RES,Ovarian Cancer
OVCAR-3,Ovarian Cancer
OVCAR-4,Ovarian Cancer
OVCAR-5,Ovarian Cancer
OVCAR-8,Ovarian Cancer
PC-3,Prostate Cancer
RPMI-8226,Leukemia
RXF 393,Renal Cancer
SF-268,CNS Cancer
SF-295,CNS Cancer
SF-539,CNS Cancer
SK-MEL-2,Melanoma
SK-MEL-28,Melanoma
SK-MEL-5,Melanoma
SK-OV-3,Ovarian Cancer
SN12C,Renal Cancer
SNB-19,CNS Cancer
SNB-75,CNS Cancer
SR,Leukemia
SW-620,Colon Cancer
T-47D,Breast Cancer
TK-10,Renal Cancer
U251,CNS Cancer
UACC-257,Melanoma
UACC-62,Melanoma
UO-31,Renal Cancer
